sku,name,brand,price,quantity,category,supplier,image,description,warranty_months
LP-2002,ThinkPad E14,Lenovo,58999,0,Laptop,Elite Tech Supplies,,Business laptop with SSD,24
LP-2003,Victus Gaming Laptop,HP,74999,6,Laptop,GameZone Distributors,,Gaming laptop with RTX graphics,24
HD-3001,WH-1000XM5,Sony,22999,0,Headphones,SoundPro Solutions,,Noise cancelling headphones,12
HD-3002,JBL Tune 760,JBL,7999,0,Headphones,AudioMax Distributors,,Wireless over-ear headphones,12
EB-4001,Galaxy Buds 2,Samsung,9999,0,Earbuds,SoundPro Solutions,,True wireless earbuds,12
EB-4002,Noise Air Buds,Noise,3999,22,Earbuds,SmartLife Traders,,Bluetooth earbuds with fast charge,12
MS-5001,MX Master 3,Logitech,9999,10,Mouse,Peripheral Pros,,Advanced wireless mouse,12
KB-6001,Mechanical Keyboard,Redragon,5499,0,Keyboard,Peripheral Pros,,RGB mechanical keyboard,12
TV-7001,Bravia 43 LED,Sony,37999,0,TV,VisionTech Supplies,,Full HD Smart LED TV,36
TV-7002,Mi 55 4K TV,Mi,49999,0,TV,Visionary Electronics,,4K UHD Android TV,36
PR-8001,DeskJet 2331,HP,4299,8,Printer,PrintWorks Pvt Ltd,,All-in-one inkjet printer,12
PR-8002,Canon Pixma G3010,Canon,13999,0,Printer,CameraKing Distributors,,High volume ink printer,12
TB-9001,iPad 10th Gen,Apple,41999,0,Tablet,TechWorld Pvt Ltd,,Powerful tablet for work and study,24
TB-9002,Galaxy Tab S9,Samsung,52999,0,Tablet,Elite Tech Supplies,,AMOLED Android tablet,24
DT-10001,OptiPlex 7090,Dell,68999,3,Desktop,DigiHub Electronics,,Business desktop system,24
CM-11001,EOS 1500D,Canon,37999,6,Camera,CameraKing Distributors,,DSLR camera for beginners,24
CM-11002,Nikon D5600,Nikon,42999,0,Camera,PrintWorks Pvt Ltd,,DSLR with vari-angle display,24
SW-12001,Apple Watch SE,Apple,29999,0,Smartwatch,SmartLife Traders,,Smartwatch with fitness tracking,24
SW-12002,Galaxy Watch 6,Samsung,27999,11,Smartwatch,SmartLife Traders,,Advanced health smartwatch,24
GC-13001,PlayStation 5,Sony,54999,0,Gaming Console,GameZone Distributors,,Next-gen gaming console,24
GC-13002,Xbox Series S,Microsoft,34999,6,Gaming Console,Visionary Electronics,,Compact digital console,24
SPK-14001,JBL Flip 6,JBL,8999,0,Speaker,AudioMax Distributors,,Portable Bluetooth speaker,12
SPK-14002,Sony SRS-XB23,Sony,9999,9,Speaker,VisionTech Supplies,,Extra bass wireless speaker,12
ER-15001,Kindle Paperwhite,Amazon,13999,0,E-reader,ReadMore Supplies,,Waterproof e-reader,12
